id_annotation	id_annotator	caption	url	Meta	True	Action	Subjective	Story	Irrelevant	Other	Comment	When	How	Where	Identification	source	image_id
52	1	actor arrives for the premiere of the film	https://media.gettyimages.com/photos/actor-john-cothran-jr-arrives-for-the-premiere-of-the-film-black-in-picture-id539614492?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	tgqmbuoeid.jpg
53	1	celebrities start decorating for the christmas season lifestyle	http://images.gmanews.tv/webpics/2016/11/640_2_2016_11_29_17_19_15.jpg	0	1	0	0	0	0	0		0	0	0	0	None	wffiejygyl.jpg
54	1	functions of government : 1 . form a more perfect union	http://images.slideplayer.com/2/765769/slides/slide_46.jpg	0	0	0	1	0	0	1	text	0	0	0	0	None	ewzztplgkf.jpg
55	1	actor attends the premiere of season	https://media.gettyimages.com/photos/actress-kirsten-dunst-attends-the-premiere-of-fxs-fargo-season-2-at-picture-id491859790?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	pgrhdjulyv.jpg
58	1	all shots by by person and rider shots can be found on his website .	https://ep1.pinkbike.org/p4pb6973204/p4pb6973204.jpg	0	0	0	0	0	0	1	caption is describing where to find pictures like this -- unsure what category to choose	0	0	0	0	None	iaawpqzjos.jpg
59	1	photo of a deer and wildfire	http://2.bp.blogspot.com/-cZpqM2kr2uc/U6v-pnIxM9I/AAAAAAAAaek/OFq7OBbqkv4/s1600/photo-of-a-deer-with-a-wildfire-in-the-background-hd-deer-wallpapers.jpg	0	1	0	0	0	0	0		0	0	0	0	None	fnyjecpcxq.jpg
60	1	high angle view of a businessman lying on a table and singing	https://media.gettyimages.com/photos/high-angle-view-of-a-businessman-lying-on-a-table-and-singing-picture-id56677061?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	ndunvlfdyt.jpg
61	1	this is real fast food !	https://i.pinimg.com/736x/72/58/85/725885eeb122262762681543e5be28e1--fast-foods-healthy-foods.jpg	0	0	0	1	0	0	0		0	0	0	0	None	agswejfrse.jpg
62	1	safe deposit with money around it on a white background photo	https://us.123rf.com/450wm/artvitdiz/artvitdiz1505/artvitdiz150500153/39598311-safe-deposit-with-money-around-it-on-a-white-background.jpg?ver=6	0	1	0	0	0	0	0		0	0	0	0	None	jmgjzfbgjk.jpg
63	1	the giraffe before he was shot dead then autopsied in the presence of the zoo 's visitors , despite an online petition to save him signed by thousands of animal lovers	https://timedotcom.files.wordpress.com/2014/02/dv1633968.jpg	1	0	0	0	1	0	0		0	0	0	0	None	xrvjtjtjpf.jpg
64	1	dunes lay the blueprint for the back nine .	http://www.golfeurope.com/photo-galleries/images/preview/39779.jpg	0	0	0	0	1	0	0		0	0	0	0	None	tpzwvwmdsu.jpg
65	1	portrait of a smiling woman stroking her dog lying on couch	http://l7.alamy.com/zooms/7f4ac7c33e5841b6a94a35915e5ca1d7/portrait-of-a-smiling-woman-stroking-her-dog-lying-on-couch-d9g1bc.jpg	0	1	0	0	0	0	0		0	0	0	0	None	seseafbina.jpg
66	1	young business woman on a bench	http://l7.alamy.com/zooms/b7385d563da542c2be31a30be3a069a6/young-business-woman-on-a-bench-g0dktp.jpg	0	1	0	0	0	0	0		0	0	0	0	None	kpvjqjhjbk.jpg
67	1	american football player looks downfield during the second half of a football game against sports team	http://img.bleacherreport.net/img/images/photos/003/558/542/hi-res-25da6f4fff0b052f7c72a5af985559ff_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top	0	1	0	0	0	0	0		0	0	0	0	None	oarzqqpxih.jpg
68	1	... and local people to deliver a new bridge	http://davidbarrie.typepad.com/.a/6a00d834519d9469e2013485c5657d970c-800wi	0	0	0	0	0	0	1	text incomplete? 	0	0	0	0	None	cudwiwexft.jpg
69	1	actor arrives to the premiere	https://media.gettyimages.com/photos/actress-kate-hudson-arrives-to-the-premiere-of-lionsgates-my-best-picture-id82832165?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	yregxcbcqj.jpg
70	1	funny animals of the week , animal pictures	http://4.bp.blogspot.com/-NTT96j0rYZ0/U8lsad0ruCI/AAAAAAABBMU/LKmGZp-Hsg8/s1600/funny-animals-117-40.jpg	0	1	0	1	0	0	0		0	0	0	0	None	mfqljcvlzl.jpg
72	1	the sign promises as much as the glorious blue sky .	http://www.brian-coffee-spot.com/wp-content/uploads/wow-slider-plugin/555/images/dsc_0838.jpg	0	0	0	1	0	0	0		0	0	0	0	None	hocrrsounl.jpg
73	1	architectural details of a bridge	https://media.gettyimages.com/photos/architectural-details-of-a-bridge-picture-id511832249?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	oivrfdikym.jpg
74	1	people tour and enjoy the public park during summer	http://l7.alamy.com/zooms/a4197bf168734006b10e02a8bebdd34e/people-tour-and-enjoy-the-high-line-public-park-in-new-york-city-during-ga67w4.jpg	0	1	0	0	0	0	0		0	0	0	0	None	hlwdncxksc.jpg
75	1	interesting 1930 's poster for a cosmetic company with stores .	https://i.pinimg.com/736x/a5/ec/d8/a5ecd8e03c0056d96c49f9c959f2c549--pinup-posters-girl-posters.jpg	0	0	0	1	1	0	0		0	0	0	0	None	bszyashdwa.jpg
76	1	racecar driver steers his car during video game subject .	http://cdn.newsapi.com.au/image/v1/af347cd6569987c49a71fe05870753c5?width=1024	0	1	0	0	0	0	0		0	0	0	0	None	kiksofmrvd.jpg
77	1	vintage elegant floral card with frame decorated with black and white lilies on a pink background .	https://us.123rf.com/450wm/olgakorneeva/olgakorneeva1405/olgakorneeva140500007/28403808-vintage-elegant-floral-card-with-frame-decorated-with-black-and-white-lilies-on-a-pink-background-ve.jpg	0	1	0	1	0	0	0		0	0	0	0	None	vkkxqbkhbp.jpg
78	1	heavy snow falls over a snow lined river .	https://ak4.picdn.net/shutterstock/videos/18564824/thumb/1.jpg	0	1	0	0	0	0	0		0	0	0	0	None	hcjrvmijgn.jpg
80	1	pop artist attends the 3rd annual at guest house	https://media.gettyimages.com/photos/actor-kevin-mchale-attends-the-3rd-annual-nautica-oceana-beach-house-picture-id472759470?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	uwmkqihvmc.jpg
81	1	illustration of a map , its flag and a comic balloon with a soccer ball in a not allowed signal	https://thumb1.shutterstock.com/display_pic_with_logo/1448648/675197230/stock-vector-illustration-of-a-long-shadow-australia-map-its-flag-and-a-comic-balloon-with-a-soccer-ball-in-a-675197230.jpg	0	1	0	0	0	0	0		0	0	0	0	None	ehtblzanfh.jpg
82	1	rock artist performs on stage at awards held	https://media.gettyimages.com/photos/musician-sting-performs-on-stage-at-the-46th-annual-grammy-awards-at-picture-id2949702?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	jfwwdgpwdc.jpg
83	1	green sea turtle isolated on a white background 3d illustration	https://us.123rf.com/450wm/2dmolier/2dmolier1609/2dmolier160900217/62773498-green-sea-turtle-isolated-on-a-white-background-3d-illustration.jpg?ver=6	0	1	0	0	0	0	0		0	0	0	0	None	qjuyziopah.jpg
84	1	person , was surprised by the staff	http://i.dailymail.co.uk/i/pix/2017/07/27/17/42B4031600000578-0-image-m-9_1501174323232.jpg	0	1	0	0	1	0	0		0	0	0	0	None	llexziixdx.jpg
85	1	red and white flag on the mast	https://ak6.picdn.net/shutterstock/videos/12263756/thumb/1.jpg	0	1	0	0	0	0	0		0	0	0	0	None	plbifdsdth.jpg
86	1	football player celebrates scoring for football team against football team in the final	http://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/13A58/production/_89827408_kiss.jpg	0	1	0	0	1	0	0		0	0	0	0	None	pihgvacowc.jpg
87	1	concept plug - in hybrid car on display	http://l7.alamy.com/zooms/b365ec4718354a5bab1eb4413bbb94ae/detroit-michigan-the-vw-cross-coup-gte-concept-plug-in-hybrid-car-ef27pw.jpg	0	1	0	0	0	0	0		0	0	0	0	None	ufmntznfsz.jpg
88	1	a pencil drawing of a zebra and her baby .	https://s-media-cache-ak0.pinimg.com/736x/0f/ac/65/0fac65de4eac7d72b4dd73a2bb16a46f.jpg	0	1	0	0	0	0	0		0	0	0	0	None	ryrxbxjbtp.jpg
89	1	airline -- reasons why person leads the way in experience	http://file.vintageadbrowser.com/3iodaozwajsgwb.jpg	0	1	0	0	0	0	0		0	0	0	0	None	nqipjfucpj.jpg
90	1	ninety per cent of the units have balconies with views .	http://www.remonline.com/wp-content/uploads/2017/06/Stone-South-development-1.jpg	0	0	0	1	1	0	0		0	0	0	0	None	qsgkeapxss.jpg
91	1	a demonstration of a group of people practicing their rights	https://media.gettyimages.com/photos/demonstration-of-a-group-of-people-practicing-their-rights-picture-id172184947?s=612x612	0	1	0	0	1	0	0		0	0	0	0	None	kblnyxxmho.jpg
92	1	actor and daughters uk premiere held	http://l7.alamy.com/zooms/e163858450394e5aa21b226debd6d01f/sylvester-stallone-jennifer-flavin-and-daughters-the-expendables-2-dmrdh6.jpg	0	1	0	0	0	0	0		0	0	0	0	None	xyhvscpdth.jpg
93	1	a fine , grainy vector pattern in black and white .	https://image.shutterstock.com/display_pic_with_logo/243661/243661,1275721942,1/stock-vector-a-fine-grainy-vector-pattern-in-black-and-white-54561763.jpg	0	1	0	0	0	0	0		0	0	0	0	None	gwesztvaqi.jpg
94	1	seamless border of orange roses and paisley , pattern on a white background .	https://thumb1.shutterstock.com/display_pic_with_logo/4555627/761692834/stock-photo-seamless-border-of-orange-roses-and-paisley-watercolor-pattern-on-a-white-background-761692834.jpg	0	1	0	0	0	0	0		0	0	0	0	None	whkoelijcr.jpg
95	1	students in front of a school	http://l7.alamy.com/zooms/50937c69ef8f4289a71ef77f1ccf593f/ghana-central-region-komenda-students-in-front-of-a-school-cp4tgf.jpg	0	1	0	0	0	0	0		0	0	0	0	None	xvswbkmvgj.jpg
96	1	museum , opened is among the 20th - century 's most significant buildings .	https://www.papercitymag.com/wp-content/uploads/2017/06/Menil-40-680x1024.jpg	0	0	0	1	0	0	0		0	0	0	0	None	vrmpgftoal.jpg
97	1	river as it meets bodies of water where airline meets	http://l7.alamy.com/zooms/faf62ef929df42f49afde816f043a2a6/fraser-river-as-it-meets-the-pacific-ocean-where-delta-meets-richmond-erk04d.jpg	0	1	0	0	0	0	0		0	0	0	0	None	lfqwmhtuvl.jpg
98	1	young rock star jamming on a guitar	https://media.istockphoto.com/photos/young-rock-star-jamming-on-a-guitar-picture-id185283450?k=6&m=185283450&s=612x612&w=0&h=ZRLfgSeOLNpmSH9S9uITPMGYuk7_NxoV136NdgiXoJU=	0	1	0	0	0	0	0		0	0	0	0	None	vejkooelup.jpg
99	1	a moored fishing boat viewed from island .	http://l7.alamy.com/zooms/8e24000f1ff244508864657b048b3a8b/a-moored-fishing-boat-viewed-from-bryher-isles-of-scilly-cornwall-b7g5nt.jpg	0	1	0	0	0	0	0		0	0	0	0	None	msoqenbong.jpg
100	1	vector illustration of person isolated on a white background	https://image.shutterstock.com/z/stock-vector-vector-illustration-of-a-cartoon-lion-head-isolated-on-a-white-background-516650239.jpg	0	0	0	1	0	0	0		0	0	0	0	None	bjkrsvrkyc.jpg
101	1	emergency services were called after a car smashed through a set of traffic lights	http://www.readingchronicle.co.uk/resources/images/6179443.jpg?display=1&htype=80&type=responsive-gallery	0	0	0	0	1	0	0		0	0	0	0	None	yaanmllpln.jpg
102	1	sheep with a black face fenced in on a winter day	http://c8.alamy.com/comp/K32RAK/sheep-with-a-black-face-fenced-in-on-a-winter-day-K32RAK.jpg	0	1	0	0	0	0	0		0	0	0	0	None	lafgdlnyfl.jpg
103	1	a small park with flags and a yellow banner around a tree in support of troops	http://l7.alamy.com/zooms/1ff618175b9d44a883c2a6bdf5b28fa1/a-small-park-with-american-flags-and-a-yellow-banner-around-a-tree-acfbd8.jpg	0	1	0	0	0	0	0		0	0	0	0	None	wgmwyiamxz.jpg
104	1	isolated water glass on a white background	https://thumb1.shutterstock.com/display_pic_with_logo/2176973/632286614/stock-vector-isolated-water-glass-on-a-white-background-vector-illustration-632286614.jpg	0	1	0	0	0	0	0		0	0	0	0	None	bqhiinzrep.jpg
105	1	when choosing your new outdoor color palette , opt for something that will enhance your home 's architectural style and give you plenty of curb appeal .	https://s-media-cache-ak0.pinimg.com/736x/99/fe/30/99fe30e84fc07f4c4f1d513a267298ef.jpg	0	0	0	1	0	0	0		0	0	0	0	None	hbvqlsvoss.jpg
106	1	person at a corporate event	https://cdn0.weddingwire.co.uk/emp/fotos/8/3/0/3/amy-7_4_108303.png	0	1	0	0	0	0	0		0	0	0	0	None	rpyqxwmdgy.jpg
107	1	bulldozer on a building site	https://media.istockphoto.com/photos/bulldozer-on-a-building-site-picture-id467448303?k=6&m=467448303&s=612x612&w=0&h=4HNBM4KKb6ZmLpF98JWA2_eog44rbKMnfKLqR5W92hg=	0	1	0	0	0	0	0		0	0	0	0	None	zundeyqdqb.jpg
108	1	person finishes at the top	http://jesuitpride.com/images/2017/7/11/Fairfield_Prep_Golf_2017_10_1280x801_.jpg	0	0	0	0	1	1	0		0	0	0	0	None	uablqwuwlt.jpg
109	1	country shape animated on the satellite map of the globe	https://ak1.picdn.net/shutterstock/videos/15389011/thumb/9.jpg	0	1	0	0	0	0	0		0	0	0	0	None	rmidexwldb.jpg
110	1	paths are clearly marked with signs like this .	https://seekingfelicity.files.wordpress.com/2014/06/p1130733.jpg	0	1	0	0	0	0	0		0	0	0	0	None	leucaffxop.jpg
111	1	putts for birdie on the second hole during the final round of the golf tournament .	https://i.pinimg.com/736x/9b/db/ee/9bdbeea03d5b41abf42112e62dffaf17--lexi-thompson-rancho.jpg	0	0	0	0	1	0	0		0	0	0	0	None	hmmcfxekbe.jpg
112	1	person shot from a cliff looking out at the lake and horizon .	https://ak1.picdn.net/shutterstock/videos/28480321/thumb/1.jpg?i10c=img.resize(height:160)	1	1	0	0	0	0	0		0	0	0	0	None	zatqvdysrp.jpg
113	1	sending this angel your way ... it lights the way with it 's tiny candle .	https://i.pinimg.com/736x/df/dd/9a/dfdd9afbf7e1b6a2e02b470935080fd4--willow-tree-angels-willow-tree-figurines.jpg	0	0	0	1	1	0	0		0	0	0	0	None	ntxeapzifa.jpg
114	1	i love the colours of her clothes .	https://i.pinimg.com/736x/02/0c/af/020caf611d954ec263d1d97b054fa8ae--stockholm-street-style-muse.jpg	0	0	0	1	0	0	0		0	0	0	0	None	eayrfuvvsl.jpg
115	1	a very simplified location and geological map of the area and adjacent coast	http://www.southampton.ac.uk/~imw/jpg-Kimmeridge/9KM-kimloc-recovered-m.jpg	0	1	0	1	0	0	0		0	0	0	0	None	plfjqdjeet.jpg
116	1	ask owner for photos of the car	https://www.carsdir.com/carsphotos/chevrolet-corvette-1966-211995-1.jpg	0	0	0	0	0	0	1	not sure how to mark the relation behind a request and image	0	0	0	0	None	dfhuxqpyig.jpg
117	1	the state of the world 's forests	https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/2015/thestateofth.jpg	0	1	0	0	0	0	0		0	0	0	0	None	mdlmssqsxl.jpg
118	1	the mountain slopes covered with powdery snow are popular with visitors , especially foreign tourists	http://oneindiaonepeople.com/wp-content/uploads/2014/02/13.jpg	0	1	0	0	1	0	0		0	0	0	0	None	mxmmsivgxb.jpg
119	1	farm tractor is moving on the field , cultivating land	https://ak7.picdn.net/shutterstock/videos/3682697/thumb/1.jpg	0	1	0	0	0	0	0		0	0	0	0	None	saevvpxnlb.jpg
120	1	master playing with his little golden retriever dog on the lawn	http://l7.alamy.com/zooms/6ce413683932455f9214da51ef6c8a78/master-playing-with-his-little-golden-retriever-dog-on-the-lawn-bxgte5.jpg	0	1	0	0	0	0	0		0	0	0	0	None	jfvehnyotb.jpg
121	1	year later the small shrubs doubled in size .	https://tipsfromashton.files.wordpress.com/2016/10/blog.jpg	0	0	0	1	0	0	0		0	0	0	0	None	iqamdvemxd.jpg
122	1	according to the model , she regularly gets told it looks	https://www.thesun.co.uk/wp-content/uploads/2017/01/nintchdbpict000298300836.jpg?strip=all&w=960	0	0	0	0	0	0	1	text incomplete	0	0	0	0	None	iochrxavdo.jpg
123	1	person and the fiancee at their engagement party .	https://4.bp.blogspot.com/-cXyu3d6rNLY/WSxxaO_AXXI/AAAAAAAAAfY/6fRZlRd8rBwPE29jXxvUn-vpmRBK_1QewCLcB/s1600/sergio-garcia-angela-akins.jpg	0	1	0	0	0	0	0		0	0	0	0	None	ilrbwzyrxl.jpg
124	1	good night id been working like a dog i should be sleeping like a log	https://www.birthdaywishes.expert/wp-content/uploads/2015/12/Good-night-image-with-puppy-and-quote.jpg	0	0	0	1	0	0	0		0	0	0	0	None	zfjfyqhwgl.jpg
125	1	the water was never deeper than your chest .	https://acanadianincambodia.files.wordpress.com/2015/10/preah-vihear-day-4-052.jpg	0	0	0	1	0	0	0		0	0	0	0	None	lbwiavddnr.jpg
126	1	twilight over italian gothic structure and the medieval town	http://l7.alamy.com/zooms/252ec157a42f4615a4c9639a6b1148f1/twilight-over-palazzo-dei-priori-and-the-medieval-town-of-volterra-hfpkxa.jpg	0	1	0	0	0	0	0		0	0	0	0	None	xzthhtzdbg.jpg
127	1	a simple wedding cake with lego bride and groom topper and cake pops .	https://lynismael.com/wp-content/uploads/2015/05/Holland-Marsh-Wedding-Photographer-Katelyn-Rick_0047(pp_w768_h534).jpg	0	1	0	0	0	0	0		0	0	0	0	None	vqosishuqm.jpg
128	1	simple custom leather pulls for your dresser , cabinets , or doors .	https://i.pinimg.com/736x/35/c8/b5/35c8b5737ded3c62498491a79c04a2e0.jpg	0	1	0	0	0	0	0		0	0	0	0	None	vjpzffahtr.jpg
129	1	sunny woodland morning along river .	http://www.hollowtop.com/journals/Tongue_River_Photos/Sunny_Morning.jpg	0	1	0	0	0	0	1	half true? but where is the river	0	0	0	0	None	jtvmjugntr.jpg
130	1	person , why u turn me on with your designs ? i believe i will bepinning some more of his work here in a bit .	https://i.pinimg.com/736x/d2/0b/7b/d20b7bff927a6d166573414d4ffbf554--dead-zombie-zombie-art.jpg	0	0	0	1	0	1	0		0	0	0	0	None	wsotdvvvdc.jpg
131	1	pop artist performs on stage .	http://media.gettyimages.com/photos/entertainer-beyonce-performs-on-stage-during-the-formation-world-tour-picture-id538724332	0	1	0	0	0	0	0		0	0	0	0	None	feckvybogt.jpg
132	1	industrial plants in the distance at night	https://media.istockphoto.com/photos/industrial-plants-in-the-distance-at-night-picture-id479157539?k=6&m=479157539&s=612x612&w=0&h=0EmjeUArhPcd38poc3cqx_bq0-IKvnfh1qhlxCfesM4=	0	1	0	0	0	0	0		0	0	0	0	None	dozjriqnse.jpg
133	1	building and skyscraper light up at night	http://l7.alamy.com/zooms/476f507779b646c4b9ae7e3894c76eb8/the-empire-state-building-and-one-world-trade-center-light-up-at-night-fcn345.jpg	0	1	0	0	0	0	0		0	0	0	0	None	xgmiohsdkj.jpg
134	1	actor is an actor who started out as a lawyer .	https://i.pinimg.com/736x/83/ab/4f/83ab4fbbb6ac094cfad07c94a31bab4d--beautiful-eyes-beautiful-people.jpg	0	0	0	0	1	0	0		0	0	0	0	None	ecjkzfcpyo.jpg
135	1	color good with green couch in living room ... favorite ... i think maybe a little too peach ?	https://i.pinimg.com/736x/58/2a/ec/582aecd2587e4473c761fb75d8612eb6--living-room-green-couches-living-rooms.jpg	0	0	0	1	0	0	0		0	0	0	0	None	fzkpoymwbs.jpg
137	1	tree branches swing at real time with the wind while clouds move fast in time lapse	https://ak8.picdn.net/shutterstock/videos/5281628/thumb/1.jpg	0	0	0	0	1	0	0		0	0	0	0	None	hbwgvhmtjj.jpg
138	1	my coffee of the day !	https://burpple-1.imgix.net/foods/2cb7a04812e4af46eb01248319_original.?w=645&dpr=1&fit=crop&q=80	0	0	0	1	0	0	0		0	0	0	0	None	ybpdruwdge.jpg
139	1	mirror image : lonely kitten seeks comfort in the form of a cuddly cat	http://i.dailymail.co.uk/i/pix/2017/04/24/15/3F8F1B3400000578-4440472-image-a-184_1493045915515.jpg	0	0	0	1	0	0	0		0	0	0	0	None	bntrsxwfim.jpg
140	1	this trick really is the best way to cut corn off the cob , because it saves making a big mess on the counter and floor .	https://thrivinghomeblog.com/wp-content/uploads/2015/05/Best-way-to-cut-corn-off-a-cob.jpg	0	0	0	1	1	0	0		0	0	0	0	None	kcdymplzcb.jpg
141	1	portrait of young mother and little child brushing their teeth together while standing in the bathroom	http://c8.alamy.com/comp/K7AFM5/portrait-of-young-mother-and-little-child-brushing-their-teeth-together-K7AFM5.jpg	0	1	0	0	0	0	0		0	0	0	0	None	bjavxegizv.jpg
142	1	the harbor a small village	http://l7.alamy.com/zooms/d431eb7cc72a4a99a4038d497ebf29b3/the-harbor-of-volendam-a-small-village-in-the-netherlands-bc35b6.jpg	0	1	0	1	0	0	0		0	0	0	0	None	npzgttqolx.jpg
143	1	a traffic sign warns of surfers crossing !	https://coolsandiegosights.files.wordpress.com/2017/03/img_6221z-a-traffic-sign-warns-of-surfers-crossing.jpg?w=660	0	1	0	0	0	0	0		0	0	0	0	None	fabhdwcpah.jpg
144	1	greeting card with bright blue text and abstract christmas tree on a white background vector art illustration	https://media.istockphoto.com/illustrations/greeting-card-with-bright-blue-text-and-abstract-christmas-tree-on-a-illustration-id894741674?k=6&m=894741674&s=612x612&w=0&h=KuDCoptNP1o16yQqxg9zPyeoqdbm2c7-CO_TodYXgug=	0	1	0	0	0	0	0		0	0	0	0	None	yyefkcjryp.jpg
145	1	such pretty watercolor flowers and can be in any languages	https://i.pinimg.com/736x/de/12/7b/de127bc032b298fed1eadb6cfa2dc074--watercolor-flowers-languages.jpg	0	0	0	1	0	0	0		0	0	0	0	None	iodeprpanp.jpg
146	1	newspaper became a free newspaper	http://l7.alamy.com/zooms/74672aec4cd94d2da13984df5477990d/london-the-evening-standard-became-a-free-newspaper-in-november-2009-bfpyaf.jpg	0	1	0	0	0	0	0		0	0	0	0	None	hczjcngcrs.jpg
147	1	ancient open prairie of west on a cold morning beds and grasses cover much of the area	http://l7.alamy.com/zooms/7ef98481b4624328824aa63d478de475/ancient-open-prairie-of-north-dakota-west-of-minot-on-a-cold-morning-bd0mba.jpg	0	1	0	1	0	0	0		0	0	0	0	None	izbxpaahze.jpg
148	1	forest on a sunny day	https://ak1.picdn.net/shutterstock/videos/6743041/thumb/1.jpg	0	1	0	0	0	0	0		0	0	0	0	None	rtnwtvoglf.jpg
149	1	happy senior couple with dog on a hike in summer in the nature	https://thumb10.shutterstock.com/display_pic_with_logo/183121/310590383/stock-photo-happy-senior-couple-with-dog-on-a-hike-in-summer-in-the-nature-310590383.jpg	0	1	0	0	0	0	0		0	0	0	0	None	yyzwkvqnzg.jpg
150	1	illustrator who has a rather simply haunting style .	https://i.pinimg.com/736x/32/0e/3f/320e3f99b79dc0117bcab995fd90bcc1--gabriel-fontana.jpg	0	0	0	1	0	0	0		0	0	0	0	None	skkkfxlbqj.jpg
151	1	birds fly up to the feeder and take seeds , snow on trees , falling snowflakes for the birdhouse	https://ak8.picdn.net/shutterstock/videos/23295238/thumb/1.jpg	0	0	0	0	1	0	0		0	0	0	0	None	sxixuypbnq.jpg
153	1	leopard dragging its kill in the desert	http://l7.alamy.com/zooms/2a2e5fa29c744bcaafc9366a01495358/leopard-dragging-its-kill-in-the-kalahari-desert-drfpd6.jpg	0	1	0	0	1	0	0		0	0	0	0	None	zfwnkdssos.jpg
154	1	on a lovely winter 's evening .	http://l7.alamy.com/zooms/2efd36f783044e7287967e0af6129f4e/the-merrion-centre-leeds-city-centre-on-a-lovely-winters-evening-lots-ha44kr.jpg	0	0	0	0	1	0	0		0	0	0	0	None	sxjpaapdvx.jpg
155	1	first screenshot of the conversation between users , where one abruptly finds out that they 've been reading a version of harry potter .	https://i.stack.imgur.com/zNsGX.jpg	0	1	0	0	0	0	1	text	0	0	0	0	None	iexbwzxtzb.jpg
156	1	taking to the streets : person is psychedelic rock artist in this mock up of their album cover	http://i.dailymail.co.uk/i/pix/2011/11/23/article-2065419-0EEB7F9F00000578-77_634x585.jpg	0	0	0	1	0	0	0		0	0	0	0	None	dyshmpzolv.jpg
158	1	glass of whiskey with ice on the table	https://media.istockphoto.com/photos/glass-of-whiskey-with-ice-on-the-table-picture-id654761464?k=6&m=654761464&s=612x612&w=0&h=D8Ev-rq7jJfNQ2MFPV94oEisdOUcEpEGrJj4lkUKiMU=	0	1	0	0	0	0	0		0	0	0	0	None	cbifhopocl.jpg
159	1	vector illustration of a flat design of the house	https://us.123rf.com/450wm/amelisk/amelisk1612/amelisk161200423/66907761-vector-illustration-of-a-flat-design-of-the-house-stock-vector.jpg?ver=6	0	0	0	0	0	1	0		0	0	0	0	None	pwgjynpiyv.jpg
